frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
32,1.071,AGREE,1,0.9575,1016.32,695.52,108747.7,849.28,532.76,1183.35,858.29,1,1015.0,697.0,847.0,534.0,1183.0,860.0,0.9833,16.93,98.68,154.89
33,1.104,AGREE,1,0.9578,1016.25,694.81,108941.9,848.98,531.98,1183.51,857.63,1,1014.5,696.5,843.0,530.0,1186.0,863.0,0.9538,17.88,99.82,154.94
34,1.137,AGREE,1,0.9571,1015.57,694.69,108546.8,848.79,531.98,1182.34,857.41,1,1013.5,696.5,842.0,530.0,1185.0,863.0,0.9503,21.26,99.96,154.98
35,1.171,AGREE,1,0.9581,1016.03,694.5,108729.9,848.78,531.97,1183.28,857.02,1,1014.5,696.5,843.0,530.0,1186.0,863.0,0.9519,21.5,101.03,155.02
36,1.204,AGREE,1,0.9585,1015.74,694.16,108649.6,848.7,531.55,1182.77,856.78,1,1013.5,695.5,842.0,529.0,1185.0,862.0,0.9512,21.34,95.78,155.04
37,1.238,AGREE,1,0.9583,1015.76,694.06,108592.4,848.91,531.36,1182.62,856.77,1,1013.5,695.5,842.0,529.0,1185.0,862.0,0.9507,17.74,98.06,155.07
38,1.271,AGREE,1,0.9587,1015.64,693.96,108431.5,848.93,531.36,1182.35,856.57,1,1014.5,695.5,843.0,529.0,1186.0,862.0,0.9493,19.58,96.87,155.11
39,1.305,AGREE,1,0.9569,1016.24,693.85,108471.8,849.42,531.29,1183.06,856.41,1,1013.5,695.5,842.0,529.0,1185.0,862.0,0.9497,20.83,100.91,155.12
40,1.338,AGREE,1,0.9579,1016.29,693.84,108343.9,849.74,531.21,1182.85,856.46,1,1014.5,694.5,843.0,528.0,1186.0,861.0,0.9486,21.24,100.45,155.11
41,1.372,AGREE,1,0.9576,1016.57,693.96,108435.2,849.82,531.39,1183.33,856.52,1,1014.5,695.5,843.0,529.0,1186.0,862.0,0.9494,21.18,97.76,155.07
42,1.405,AGREE,1,0.957,1016.83,693.97,108502.5,850.07,531.31,1183.6,856.63,1,1014.5,695.5,843.0,529.0,1186.0,862.0,0.95,21.24,99.09,155.09
43,1.439,AGREE,1,0.9567,1016.65,693.59,108075.5,850.21,531.25,1183.09,855.92,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9462,16.54,99.33,155.12
44,1.472,AGREE,1,0.9572,1016.54,693.51,108076.7,850.1,531.18,1182.99,855.84,1,1015.5,695.5,844.0,529.0,1187.0,862.0,0.9462,23.51,99.19,155.12
45,1.506,AGREE,1,0.9559,1017.03,693.52,108059.7,850.34,531.45,1183.72,855.59,1,1015.0,695.0,847.0,532.0,1183.0,858.0,0.979,23.55,105.3,155.13
46,1.539,AGREE,1,0.9568,1016.76,693.56,108185.6,850.23,531.16,1183.3,855.97,1,1014.5,694.5,843.0,528.0,1186.0,861.0,0.9472,21.26,105.28,155.13
47,1.572,AGREE,1,0.9569,1017.34,693.46,108380.3,850.4,531.16,1184.28,855.77,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9489,23.78,99.75,155.18
48,1.606,AGREE,1,0.9566,1017.71,693.4,108412.1,850.53,531.29,1184.9,855.52,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9492,19.21,102.36,155.17
49,1.639,AGREE,1,0.9573,1017.72,693.47,108374.0,850.61,531.34,1184.83,855.6,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9488,19.64,99.42,155.15
50,1.673,AGREE,1,0.9565,1017.69,693.27,108262.1,850.57,531.31,1184.8,855.23,1,1014.5,694.5,843.0,528.0,1186.0,861.0,0.9478,22.64,100.55,155.17
51,1.706,AGREE,1,0.9571,1018.24,693.19,108164.4,851.12,531.38,1185.35,855.0,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.947,16.81,106.12,155.18
52,1.74,AGREE,1,0.9577,1018.32,693.43,108015.2,851.57,531.49,1185.07,855.37,1,1016.0,694.0,848.0,531.0,1184.0,857.0,0.9799,23.54,102.81,155.14
53,1.773,AGREE,1,0.9576,1018.1,693.39,108192.3,851.16,531.38,1185.05,855.41,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9472,23.48,102.08,155.12
54,1.807,AGREE,1,0.958,1017.82,693.2,108166.2,850.94,531.16,1184.69,855.25,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.947,16.26,106.71,155.1
55,1.84,AGREE,1,0.9579,1017.43,693.31,108355.1,850.5,531.03,1184.35,855.6,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.9487,17.51,98.68,155.15
56,1.874,AGREE,1,0.9572,1018.08,693.32,108277.9,851.21,531.09,1184.94,855.54,1,1015.5,694.5,844.0,528.0,1187.0,861.0,0.948,24.33,100.96,155.2
57,1.907,AGREE,1,0.9572,1018.13,693.23,108230.1,851.21,531.14,1185.06,855.32,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9476,19.34,104.03,155.21
58,1.94,AGREE,1,0.9549,1018.95,693.06,107878.9,852.28,531.24,1185.61,854.88,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9445,21.34,103.51,155.21
59,1.974,AGREE,1,0.9573,1019.0,693.13,107987.2,852.17,531.3,1185.83,854.95,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9454,20.94,105.43,155.2
60,2.007,AGREE,1,0.956,1019.71,693.26,107548.3,853.31,531.68,1186.1,854.85,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9416,23.52,103.72,155.1
61,2.041,AGREE,1,0.9588,1019.72,693.18,107240.0,853.47,531.91,1185.96,854.45,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.9389,17.39,106.29,155.13
62,2.074,AGREE,1,0.9574,1019.82,693.23,107449.8,853.31,531.91,1186.34,854.55,1,1016.5,693.5,845.0,527.0,1188.0,860.0,0.9407,17.08,104.93,155.15
63,2.108,AGREE,1,0.9574,1019.78,693.36,107666.4,853.27,531.7,1186.28,855.02,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9426,20.14,108.74,155.14
64,2.141,AGREE,1,0.9563,1019.79,693.06,107440.4,853.31,531.72,1186.26,854.41,1,1017.0,694.0,849.0,531.0,1185.0,857.0,0.9736,23.58,98.45,155.19
65,2.175,AGREE,1,0.9571,1019.73,693.16,107638.5,853.18,531.59,1186.27,854.74,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9424,23.56,100.66,155.19
66,2.208,AGREE,1,0.9578,1019.36,692.97,107725.8,852.8,531.27,1185.92,854.66,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9432,17.67,102.76,155.17
67,2.242,AGREE,1,0.957,1019.58,693.17,107670.0,853.04,531.55,1186.13,854.79,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9427,17.8,100.04,155.2
68,2.275,AGREE,1,0.9578,1019.73,693.39,107608.8,853.2,531.85,1186.26,854.94,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9421,17.75,99.7,155.19
69,2.308,AGREE,1,0.9565,1019.72,693.19,107536.1,853.33,531.62,1186.11,854.76,1,1016.5,695.5,845.0,529.0,1188.0,862.0,0.9415,20.78,98.91,155.19
70,2.342,AGREE,1,0.9587,1019.75,693.33,107456.5,853.4,531.85,1186.1,854.82,1,1016.5,694.5,845.0,528.0,1188.0,861.0,0.9408,19.2,100.86,155.17
71,2.375,AGREE,1,0.9589,1019.95,693.52,107530.1,853.71,531.81,1186.19,855.23,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.9414,17.1,97.86,155.12
72,2.409,AGREE,1,0.9583,1020.1,693.47,107427.9,853.93,531.84,1186.26,855.09,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.9405,22.23,100.7,155.12
